Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-DDB3","ResourceAutoTagCdkStack/ResourceAutoTaggingMap/Resource","Non-Compliant","N/A","Warning","The DynamoDB table does not have Point-in-time Recovery enabled."
"AwsSolutions-IAM4","ResourceAutoTagCdkStack/ResourceAutoTagSchedulerLambdaRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","ResourceAutoTagCdkStack/ResourceAutoTagSchedulerLambdaRole/Resource","Non-Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","ResourceAutoTagCdkStack/ResourceAutoTagSchedulerLambdaRole/Resource","Non-Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","ResourceAutoTagCdkStack/ResourceAutoTagSchedulerLambdaRole/Resource","Non-Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","ResourceAutoTagCdkStack/ResourceAutoTagSchedulerLambdaRole/Resource","Non-Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","ResourceAutoTagCdkStack/ResourceAutoTagSchedulerLambdaRole/Resource","Non-Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","ResourceAutoTagCdkStack/ResourceAutoTagSchedulerLambdaRole/Resource","Non-Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","ResourceAutoTagCdkStack/ResourceAutoTagSchedulerLambdaRole/Resource","Non-Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","ResourceAutoTagCdkStack/ResourceAutoTagSchedulerLambdaRole/Resource","Non-Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","ResourceAutoTagCdkStack/ResourceAutoTagSchedulerLambdaRole/Resource","Non-Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","ResourceAutoTagCdkStack/ResourceAutoTagSchedulerLambdaRole/Resource","Non-Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","ResourceAutoTagCdkStack/ResourceAutoTagSchedulerLambdaRole/Resource","Non-Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","ResourceAutoTagCdkStack/ResourceAutoTagSchedulerLambdaRole/Resource","Non-Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-L1","ResourceAutoTagCdkStack/resource-auto-tag1/Resource","Compliant","N/A","Error","The non-container Lambda function is not configured to use the latest runtime version."
